Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
Large-Area Patterning of Metal Nanostructures by Dip-Pen Nanodisplacement Lithography for Optical Applications,"['Chen, Lina', 'Wei, Xiaoling', 'Zhou, Xuechang', 'Xie, Zhuang', 'Li, Kan', 'Ruan, Qifeng', 'Chen, Chaojian', 'Wang, Jianfang', 'Mirkin, Chad A.', 'Zheng, Zijian']",SMALL,13,43,NOV 20 2017,tczzheng@polyu.edu.hk,"Hong Kong Polytech Univ, Inst Text & Clothing, Lab Adv Interfacial Mat & Devices, Hong Kong, Hong Kong, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['nanofabrication', 'polymer brush', 'scanning probe lithography', 'solar cells', 'transparent conductive electrodes']","['PLASMON RESONANCE SPECTROSCOPY', 'SCANNING-PROBE LITHOGRAPHY', 'POLYMER BRUSHES', 'TRANSPARENT ELECTRODES', 'NANOLITHOGRAPHY', 'FABRICATION', 'NANOFABRICATION', 'ARRAYS', 'NANOPARTICLES', 'CONSTRUCTION']","[['Hong Kong Polytechnic University', '1ZE27\xa0\n4-BCBM'], ['General Research Fund of Hong Kong', 'PolyU 153202/16P'], ['AFOSR', 'FA9550-16-1-0150'], ['National Science Foundation', 'DBI-1353682']]"
Polymer Pen Lithography with Lipids for Large-Area Gradient Patterns,"['Kumar, Ravi', 'Urtizberea, Ainhoa', 'Ghosh, Souvik', 'Bog, Uwe', 'Rainer, Quinn', 'Lenhert, Steven', 'Fuchs, Harald', 'Hirtz, Michael']",LANGMUIR,33,35,SEP 5 2017,michael.hirtz@kit.edu,"Karlsruhe Inst Technol, Inst Nanotechnol INT, D-76131 Karlsruhe, Germany.","['Chemistry', 'Materials Science']",[],"['MENISCUS CONDENSATION', 'FORCE MICROSCOPY', 'INK TRANSPORT', 'FEATURE SIZE', 'NANOLITHOGRAPHY', 'ARRAYS', 'SURFACES', 'GRAPHENE', 'DYNAMICS', 'MEMBRANES']","[['Karlsruhe Nano Micro Facility (KNMF)', ''], ['Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', ''], [""People Programme (Marie Curie Actions) of the European Union's Seventh Framework Programme under REA"", '328163'], ['DAAD', 'WISE 2016 57220756'], ['Karlsruhe House of Young Scientist (KHYS)', ''], ['NIH', 'R01 GM107172']]"
Printable and Rewritable Full Block Copolymer Structural Color,"['Kang, Han Sol', 'Lee, Jinseong', 'Cho, Suk Man', 'Park, Tae Hyun', 'Kim, Min Ju', 'Park, Chanho', 'Lee, Seung Won', 'Kim, Kang Lib', 'Ryu, Du Yeol', 'Huh, June', 'Thomas, Edwin L.', 'Park, Cheolmin']",ADVANCED MATERIALS,29,29,AUG 4 2017,elt@rice.edu; cmpark@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, 50 Yonsei Ro, Seoul 120749, South Korea.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['ammonium persulfate', 'block copolymers', 'full-colored photonic crystals', 'ink-jet printing', 'printable structural color', 'reversible crosslinking', 'rewritable structural color']","['PHOTONIC GELS', 'LIQUID-CRYSTALS', 'FILMS', 'HYDROGELS', 'SOLVENT', 'PIXELS', 'MEMORY', 'BAND']","[['Samsung Research Funding Center of Samsung Electronics', 'SRFC-MA1301-03']]"
Self-Collapse Lithography,"['Zhao, Chuanzhen', 'Xu, Xiaobin', 'Yang, Qing', 'Man, Tianxing', 'Jonas, Steven J.', 'Schwartz, Jeffrey J.', 'Andrews, Anne M.', 'Weiss, Paul S.']",NANO LETTERS,17,8,Aug-17,aandrews@mednet.ucla.edu; psw@cnsi.ucla.edu,"Univ Calif Los Angeles, Calif NanoSyst Inst, Los Angeles, CA 90095 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Chemical lift-off lithography', 'self-collapse', 'soft lithography', 'nanolithography']","['LIFT-OFF LITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'POLYMER PEN LITHOGRAPHY', 'LIGHT-EMITTING-DIODES', 'SOFT LITHOGRAPHY', 'STAMP DEFORMATION', 'FULL-COLOR', 'FABRICATION', 'NANOSTRUCTURES', 'ARRAYS']","[['National Science Foundation', 'CMMI-1636136'], ['China Scholarship Council', ''], ['Eli and Edythe Broad Center of Regenerative Medicine', ''], ['Stem Cell Research at UCLA Training Program through its Clinical Fellowship Training Award Program', ''], [""UCLA Children's Discovery and Innovation Institute's (CDI) Fellows Research Support Award"", '']]"
Structural Evolution of Three-Component Nanoparticles in Polymer Nanoreactors,"['Chen, Peng-Cheng', 'Du, Jingshan S.', 'Meckes, Brian', 'Huang, Liliang', 'Xie, Zhuang', 'Hedrick, James L.', 'Dravid, Vinayak P.', 'Mirkin, Chad A.']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,139,29,JUL 26 2017,chadnano@northwestern.edu,"Northwestern Univ, Dept Mat Sci & Engn, Evanston, IL 60208 USA.",['Chemistry'],[],"['LIQUID CELL', 'IN-SITU', 'HETEROSTRUCTURED NANOCRYSTALS', 'HETERODIMER NANOCRYSTALS', 'ELECTRON-MICROSCOPY', 'DIRECTED SYNTHESIS', 'GROWTH', 'NANOSTRUCTURES', 'SEMICONDUCTOR', 'NUCLEATION']","[['GlaxoSmithKline LLC', ''], ['Air Force Office of Scientific Research', 'FA9550-12-1-0141\xa0\nFA9.550-12-1-0280\xa0\nFA9550-16-1-0150'], ['National Science Foundation', 'DBI-1353682'], ['Vannevar Bush Faculty Fellowship - Basic Research Office of the Assistant Secretary of Defense for Research and Engineering', ''], ['Office of Naval Research', 'N00014-15-1-0043'], ['Ryan Fellowship', ''], ['Northwestern University International Institute for Nanotechnology', ''], ['Northwestern University', ''], ['Department of Defense through the National Defense Science & Engineering Graduate Fellowship (NDSEG) Program', ''], ['Soft and Hybrid Nanotechnology Experimental (SHyNE) Resource', 'NSF ECCS-1542205'], ['MRSEC program at the Materials Research Center', 'NSF DMR-1121262'], ['International Institute for Nanotechnology (IIN)', ''], ['Keck Foundation', ''], ['State of Illinois through the IIN', ''], ['NCI', 'CCSG P30 CA060553'], ['Chicago Biomedical Consortium', ''], ['Searle Funds at The Chicago Community Trust', '']]"
When lithography meets self-assembly: a review of recent advances in the directed assembly of complex metal nanostructures on planar and textured surfaces,"['Hughes, Robert A.', 'Menumerov, Eredzhep', 'Neretina, Svetlana']",NANOTECHNOLOGY,28,28,JUL 14 2017,sneretina@nd.edu,"Univ Notre Dame, Coll Engn, Notre Dame, IN 46556 USA.","['Science & Technology - Other Topics', 'Materials Science', 'Physics']","['capillary assembly', 'dewetting', 'dip-pen nanolithography', 'galvanic replacement', 'bimetallic nanostructures', 'nanomanufacturing', 'nanofabrication']","['GALVANIC REPLACEMENT REACTIONS', 'NANOPOROUS GOLD NANOPARTICLES', 'BLOCK-COPOLYMER LITHOGRAPHY', 'SHAPE-CONTROLLED SYNTHESIS', '25TH ANNIVERSARY ARTICLE', 'POLYMER PEN LITHOGRAPHY', 'OPTICAL-PROPERTIES', 'PLASMONIC NANOSTRUCTURES', 'BIMETALLIC NANOCRYSTALS', 'COLLOIDAL NANOCRYSTALS']","[['National Science Foundation', 'CMMI- 1707595\xa0\nDMR-1707593']]"
The Structural Fate of Individual Multicomponent Metal-Oxide Nanoparticles in Polymer Nanoreactors,"['Du, Jingshan S.', 'Chen, Peng-Cheng', 'Meckes, Brian', 'Xie, Zhuang', 'Zhu, Jinghan', 'Liu, Yuan', 'Dravid, Vinayak P.', 'Mirkin, Chad A.']",ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,56,26,JUN 19 2017,v-dravid@northwestern.edu; chadnano@northwestern.edu,"Northwestern Univ, Dept Mat Sci & Engn, Evanston, IL 60208 USA.",['Chemistry'],"['doping', 'mixed oxides', 'nanoparticles', 'scanning probe lithography', 'structural evolution']","['BLOCK-COPOLYMER LITHOGRAPHY', 'WATER OXIDATION CATALYSIS', 'MAGNETIC NANOPARTICLES', 'DIRECTED SYNTHESIS', 'SOLID-SOLUTIONS', 'EQUILIBRIUM', 'NICKEL', 'IRON', 'HETEROSTRUCTURES', 'RESOLUTION']","[['GlaxoSmithKline LLC', ''], ['Air Force Office of Scientific Research', 'FA9550-16-1-0150\xa0\nFA9550-12-1-0141\xa0\nFA9550-12-1-0280'], ['U.S. Army', 'W911NF-15-1-0151'], ['National Science Foundation', 'DMR-1507810'], ['National Cancer Institute of the National Institutes of Health', 'U54CA199091'], ['Hierarchical Materials Cluster Program Fellowship from Northwestern University', ''], ['Ryan Fellowship from Northwestern University', ''], ['SHyNE Resource NNCI site (NSF)', 'ECCS-1542205'], ['MRSEC program (NSF)', 'DMR-1121262'], ['IIN', ''], ['State of Illinois through IIN', ''], ['MRSEC', ''], ['SHyNE', ''], ['NCI', 'CCSG P30 CA060553'], ['Chicago Biomedical Consortium', ''], ['Searle Funds at The Chicago Community Trust', '']]"
Polymeric lithography editor: Editing lithographic errors with nanoporous polymeric probes,"['Rajasekaran, Pradeep Ramiah', 'Zhou, Chuanhong', 'Dasari, Mallika', 'Voss, Kay-Obbe', 'Trautmann, Christina', 'Kohli, Punit']",SCIENCE ADVANCES,3,6,Jun-17,pkohli@chem.siu.edu,"Southern Illinois Univ, Dept Chem & Biochem, Carbondale, IL 62901 USA.",['Science & Technology - Other Topics'],[],"['DIP-PEN NANOLITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'AGAROSE-GEL', 'FABRICATION', 'MICROSCOPE', 'SCATTERING', 'CHEMISTRY', 'EVOLUTION', 'DIFFUSION', 'TRANSPORT']","[['NSF', 'CHE-0748676\xa0\nCHE-0959568\xa0\nCHE 0959568'], ['NIH', 'GM 106364\xa0\nGM 080711'], ['Office of Vice Chancellor of Research at the SIUC', '']]"
"Size-tunable, highly sensitive microelectrode arrays enabled by polymer pen lithography","['Ma, Xinlei', 'Li, Fengwang', 'Xie, Zhuang', 'Xue, Mianqi', 'Zheng, Zijian', 'Zhang, Xueji']",SOFT MATTER,13,20,MAY 28 2017,tczzheng@polyu.edu.hk; zhangxueji@ustb.edu.cn,"Univ Sci & Technol Beijing, Res Ctr Bioengn & Sensing Technol, Beijing Key Lab Bioengn & Sensing Technol, Sch Chem & Biol Engn, Beijing 100083, Peoples R China.","['Chemistry', 'Materials Science', 'Physics', 'Polymer Science']",[],"['SOFT LITHOGRAPHY', 'OXIDE-FILM', 'ELECTRODES', 'FABRICATION', 'SURFACE', 'DENSITY', 'SENSOR']","[['National Natural Science Foundation of China', '21404009'], ['Beijing Natural Science Foundation', '2154053'], ['Fundamental Research Funds for the Central Universities', 'FRF-TP-15-020A2'], ['Beijing Municipal Science and Technology Commission', 'z131102002813058'], ['Hong Kong Polytechnic University', '4-BCBM']]"
Creating Collagen Nanowire Arrays by 'Bottom-Up' and 'Top-Down' Approaches on Mica Lattice Planes,"['Li Li', 'Zhang Lei', 'Yang De-Liang', 'Sun Ming', 'Zeng Fan-Xi', 'Gu Wen-Hua']",CHINESE JOURNAL OF INORGANIC CHEMISTRY,33,5,MAY 10 2017,msun@njust.edu.cn; guwenhua@njust.edu.cn,"Nanjing Univ Sci & Technol, Sch Elect Engn & Optoelect Technol, Nanjing 210094, Jiangsu, Peoples R China.",['Chemistry'],"['collagen', 'bottom-up', 'top-down', 'nanowire', 'mesoscale']","['LIQUID-PHASE EPITAXY', 'ATOMIC-FORCE MICROSCOPY', 'GROWTH', 'PEPTIDES', 'CLOAK', 'DNA']",[]
